Local Time,Real Energy Into the Load
2025-Aug-02 13:45:00.000,3857607
2025-Aug-02 14:00:00.000,3857607
2025-Aug-02 14:15:00.000,3857607
2025-Aug-02 14:30:00.000,3857607
2025-Aug-02 14:45:00.000,3857607
2025-Aug-02 15:00:00.000,3857607
2025-Aug-02 15:15:00.000,3857607
2025-Aug-02 15:30:00.000,3857607
2025-Aug-02 15:45:00.000,3857607
2025-Aug-02 16:00:00.000,3857607
2025-Aug-02 16:15:00.000,3857607
2025-Aug-02 16:30:00.000,3857607
2025-Aug-02 16:45:00.000,3857607
2025-Aug-02 17:00:00.000,3857607
2025-Aug-02 17:15:00.000,3857607
2025-Aug-02 17:30:00.000,3857607
2025-Aug-02 17:45:00.000,3857607
2025-Aug-02 18:00:00.000,3857607
2025-Aug-02 18:15:00.000,3857607
2025-Aug-02 18:30:00.000,3857607
2025-Aug-02 18:45:00.000,3857607
2025-Aug-02 19:00:00.000,3857607
2025-Aug-02 19:15:00.000,3857654
2025-Aug-02 19:30:00.000,3857708
2025-Aug-02 19:45:00.000,3857741
2025-Aug-02 20:00:00.000,3857763
2025-Aug-02 20:15:00.000,3857777
2025-Aug-02 20:30:00.000,3857798
2025-Aug-02 20:45:00.000,3857817
2025-Aug-02 21:00:00.000,3857837
2025-Aug-02 21:15:00.000,3857857
2025-Aug-02 21:30:00.000,3857877
2025-Aug-02 21:45:00.000,3857896
2025-Aug-02 22:00:00.000,3857916
2025-Aug-02 22:15:00.000,3857936
2025-Aug-02 22:30:00.000,3857957
2025-Aug-02 22:45:00.000,3857977
2025-Aug-02 23:00:00.000,3857997
2025-Aug-02 23:15:00.000,3858018
2025-Aug-02 23:30:00.000,3858038
2025-Aug-02 23:45:00.000,3858058
2025-Aug-03 00:00:00.000,3858079
2025-Aug-03 00:15:00.000,3858099
2025-Aug-03 00:30:00.000,3858119
2025-Aug-03 00:45:00.000,3858140
2025-Aug-03 01:00:00.000,3858160
2025-Aug-03 01:15:00.000,3858180
2025-Aug-03 01:30:00.000,3858201
